Using field units, Initial reservoir pressure [psi]: ,0,,,,,,,,
,Well_1A,Well_10A,Well_11A,Well_3A,Well_5A,Well_6A,Well_7A,Well_9A,Well_2A,Well_4A
Time,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP
hours,psi,psi,psi,psi,psi,psi,psi,psi,psi,psi
13.58205445,2237.248345,1589.761994,,,1614.175866,1287.575199,1144.423892,1325.503551,303.9182546,
13.6696113,2254.982548,1588.393643,,,1614.326871,1281.574241,1138.008665,1330.659863,297.9766645,
13.75175587,2234.895209,,,1703.560518,1609.984132,1293.706587,1141.457758,,299.6401813,1703.560518
13.75204829,,1587.735448,,,,,,1323.305139,,
13.84067476,2252.940549,1588.21579,1308.980922,1703.740891,1602.649016,1298.247429,1154.252694,1320.282309,298.0711573,1703.740891
13.92247218,2234.163672,,,1703.277222,1605.549254,1306.933582,1157.393398,,301.5099175,1703.277222
13.92277479,,,1308.547294,,,,,1329.260893,,
14.00608087,,1587.265656,1309.470037,,1622.35271,1319.777402,1161.066668,1332.7597,,
14.00638254,2245.367075,,,1703.549195,,,,,299.8308708,1703.549195
14.09331987,2238.272879,1588.17025,,1703.654009,1643.550754,1336.129756,1156.388689,1322.29581,299.8579818,1703.654009
14.17469427,,1588.467018,1309.64448,,1656.599225,1334.035815,1151.324927,1324.848144,,
14.17494954,2243.178338,,,1703.557665,,,,,292.8646979,1703.557665
14.25107875,2242.967167,1587.920163,1309.274316,1704.122373,1655.688964,1322.89212,1142.085175,1331.253001,310.2279724,1704.122373
14.33572285,2238.027122,1587.440566,1309.650209,,1647.735529,1293.774765,1136.440327,1324.333215,296.9714394,
14.41321009,2248.695847,1588.984908,,1703.710859,1647.51965,1280.87153,1138.109541,1317.567681,299.4339587,1703.710859
14.49242133,2234.897466,,,1702.799587,,,,,295.2909962,1702.799587
14.49268095,,1587.566218,1308.738067,,1656.016442,1291.772624,1141.78824,1327.143472,,
14.57281568,2253.524166,1587.125877,1307.999038,1703.261212,1631.93465,1303.198241,1151.452525,1332.959141,299.322147,1703.261212
14.66263395,2240.15017,1588.668132,1309.221302,1703.457853,1624.313571,1306.705417,1160.830405,1322.135006,295.4749936,1703.457853
14.75336412,2252.503966,1587.505087,1308.823767,1703.617299,1614.535675,1316.391869,1159.602434,1323.285177,297.741969,1703.617299
14.84258535,2243.480139,,1309.120816,1702.789877,,,,1331.045628,302.5320807,1702.789877
14.84286183,,,,,1611.875065,1329.687736,1157.315183,,,
14.93324516,2248.12281,1589.31997,1308.890549,1703.699698,1615.430213,1339.335588,1146.70461,1326.400858,292.2913018,1703.699698
15.01693102,2250.437959,1587.505373,1308.094898,1704.831328,1612.100846,1323.560697,1144.927872,1317.957129,298.0428964,1704.831328
15.09664975,2243.845298,1588.178064,1309.572904,1703.716473,1606.719355,1300.643956,1140.715911,1325.491388,296.2866303,1703.716473
15.17658991,2250.291755,1588.664315,1308.921738,1702.623407,1606.604546,1276.008865,1137.545989,1334.924251,299.7330966,1702.623407
15.26571512,2237.263662,,,1703.007384,1613.233585,1292.621628,1141.993878,,297.2138456,1703.007384
15.2660156,,1587.591523,1308.612784,,,,,1322.338561,,
15.34405426,,1587.917774,,,1619.452409,1298.295453,1151.430439,1320.561562,,
15.34435978,2249.612542,,,1703.94324,,,,,303.4387959,1703.94324
15.42462002,2234.236977,,,,1627.536612,1304.302786,1161.06342,1328.988718,295.5806108,
15.50533636,2249.53931,1587.689317,1308.704588,1703.064355,1632.184563,1311.219902,1159.442771,1329.120402,301.1516077,1703.064355
15.59476238,2237.063151,1587.335466,1308.671097,1702.669865,1640.933462,1326.337045,1159.2061,1318.477712,307.8719047,1702.669865
15.6752428,2247.748035,1587.525971,,1703.551555,1648.380816,1336.956774,1150.873361,1323.847462,292.611007,1703.551555
15.75738841,2244.644068,1588.312745,1308.583131,1703.90638,1653.82875,1326.028156,1147.651468,1334.782072,296.5393404,1703.90638
15.84892674,2243.963221,1587.473752,1308.700923,1703.585195,1648.116892,1304.231325,1140.279173,1324.187785,307.6414451,1703.585195
15.92458281,2251.88767,1587.325228,1308.875436,1702.55736,1643.572334,1279.86481,1138.139075,1318.725829,294.0192077,1702.55736
